Segment ID,Source Segment,Segment Origin,Comments,Human Translation,Human Translation rating,Google Translate,Google Translate rating,Kakao i,Kakao i rating
50,"desde la profunda división del país en dos bloques al bandazo del Brexit duro al blando y la inestabilidad política, pasando por la voladura de las líneas rojas exhibidas por Londres frente a Bruselas o la incertidumbre, letal para la economía. ",El País,,브렉시트에 대한 찬반을 놓고 나라가 양쪽으로 분열된 것에서부터 시작해서 영국이 EU에 제시한 한계선을 공중폭파하듯 넘어버려 생긴 정치적 불안과 불신으로 경제에 치명타가 되고 있다.  ,1,브뤼셀 앞에서 런던이 전시 한 빨간 선이 폭발하거나 경제에 치명적인 불확실성으로 인해 브리짓이 강경 한 브리짓 (Br Brexit)이 부드럽고 정치적으로 불안정한 상태에 이르기까지 두 블록에 걸친 국가의 깊은 분파에서 일어났습니다.,3,"두 블록으로의 깊은 분열에서 단단한 브렉시트에서 부드러운 정치적 불안정에 이르기까지 브뤼셀에 대한 런던이 보여주는 빨간 선의 폭발이나 불확실성, 경제에 치명적인 영향을 미칩니다.",2
51,"Así, la libra ya ha perdido el 12% de su valor y Reino Unido será el país europeo que menos crezca en 2019 y 2020. ",El País,,이에 따라 이미 파운드의 가치는 12% 하락했고 영국은 2019년-2020년에 가장 성장률이 낮은 유럽 국가가 될 것이다. ,1,따라서 파운드는 이미 가치의 12 %를 잃었으며 영국은 2019 년과 2020 년에 성장하지 않는 유럽 국가가 될 것입니다. ,3,따라서 파운드는 이미 가치의 12 %를 잃었으며 영국은 2019 년과 2020 년에 가장 성장이 적은 유럽 국가가 될 것입니다.,2
52,"La última pésima noticia ha sido la dimisión, el viernes pasado, del ministro de Transportes, Jo Johnson, autor de esa diatriba entre vasallaje y caos, es decir, entre el sometimiento a las reglas del mercado único sin voz ni voto de Londres (la oferta de May rechazada por todos) o la desastrosa salida sin acuerdo el 29 de marzo. ",El País,,"마지막 남은 최악의 소식은 지난 주 금요일 조 존슨 교통부 장관의 사임이다. 그는 이 예속과 혼돈의 논쟁 즉, 아무런 목소리도, 투표도 없이 단일 시장경제에 예속되거나 (메이 총리의 제안으로 전부 거절 당했다) 3월 29일 노딜 브렉시트로 가느냐의 논쟁을 초래한 장본인이다. ",1,"최악의 소식은 지난 금요일, 교통 장관, 조 존슨 (Jo Johnson)의 사퇴, 즉 매매와 혼돈 사이의 비난 즉, 목소리 나 런던의 투표가없는 단일 시장의 규칙에 대한 제출 사이다. 3 월 29 일에 합의없이 모든 사람이 거부 할 수 있음) 또는 비참한 출발.",3,"지난 금요일, 조 존슨 교통부 장관이 사임한 것은, 가신과 혼돈 사이의 비난, 즉 런던의 목소리 나 투표없이 단일 시장 규칙을 준수하는 것(5월의 모든 제안) 또는 3월 29일의 비참하게 비합의적인 출발 사이의 저자였다.",2
53,"Hermano del también dimisionario Boris y político de gran prestigio y popularidad, Jo Johnson, que votó contra el Brexit, era el encargado de pactar el estratégico acuerdo sobre Transportes, un sector clave para las futuras relaciones del Reino Unido con la UE. ",El País,,역시 사임한 보리스의 동생이자 명예와 명성이 높은 정치인인 조 존슨은 브렉시트에 반대했었고 EU와 영국의 향후 관계의 핵심 분야인 교통에 관한 전략적인 협정을 체결하는 임무를 맡았었다. ,2,부시 대통령과 블레치 총리에게 투표 한 조 존슨 (Jo Johnson) 대통령은 보리스 (Boris)를 사임하고 영국과 EU의 미래 관계를위한 핵심 분야 인 교통에 관한 전략적 협상을 담당했다.,3,또한 사임자인 보리스의 형제이자 유명한 정치인인 조 존슨은 브렉시트에 반대표를 던진 후 EU와의 미래 관계의 핵심 부문인 전략적 교통 협정을 체결하는 임무를 맡았습니다.,1
54,"Su renuncia echa gasolina al incendio declarado en algunas aerolíneas que, alarmadas por el desastre, tratan como apestados a sus accionistas británicos y les amenazan con eliminar sus derechos de voto para demostrar a Bruselas una mayoría de propiedad comunitaria y operar así sin problemas en toda la UE. ",El País,,그의 사임은 몇몇 항공사들에게는 불난 데 부채질하는 격이었다. 그들은 충격적인 소식에 당황하여 자사의 영국 주주들을 적대시했고 그들의 투표권을 빼앗겠다고 위협하여 EU에 자신들의 이 지역에 대한 소유권을 입증하고 차질없이 운항하기 위해서이다. ,1,그들의 사임은 재난으로 경계를당한 일부 항공사들에 의해 선언 된 화재에 휘발유를 붓고 그들의 영국 주주들을 괴롭 히고 브뤼셀에 대다수의 공동체 재산을 보여주고 투표권을 없애겠다고 위협했다. EU,2,그들의 사임은 재난으로 인해 경악하여 영국 주주들의 악취를 풍기는 것으로 취급하고 브뤼셀에 지역 사회 소유권의 다수를 입증하고 EU 전역에서 원활하게 운영할 수 있는 투표권을 제거하겠다고 위협하는 일부 항공사의 화재에 휘발유를 떨어 뜨립니다.,3
55,"Las llamas se observan también en Getlink, gestora del Eurotúnel, por el que anualmente cruzan sin controles fronterizos 1,6 millones de camiones, 2,5 millones de coches y 21 millones de personas. ",El País,,"불꽃은 유로터널 관리 기업인 제트링크에도 튀었다. 매년 트럭 1.6백만 대, 승용차 2.5백만 대와 2,300만 명의 사람들이 이 터널을 통해 심사 없이 국경을 통과한다.   ",1,"Eurotunnel 매니저 인 Getlink에서도 매년 160 만 대의 트럭, 250 만 대의 자동차 및 2 천 1 백만 명의 사람들이 국경 통제없이 교차하고 있습니다. ",2,"화염은 또한 Getlink, Eurotunnel 관리자에서 관찰되며, 매년 160만 대의 트럭, 250만 대의 자동차 및 2 천 1 백만 명의 사람들이 국경 통제없이 횡단합니다.",2
56,"Con destino a las factorías británicas de Toyota, por ejemplo, por ahí pasan a diario suspensiones alemanas, ruedas españolas, tubos de escape holandeses o cinturones de seguridad húngaros.",El País,,"도요타의 영국 공장을 예를 들면, 독일제 완충장치, 스페인제 바퀴, 네덜란드제 배기관, 헝가리제 안전벨트가 매일 들어온다.",1,"예를 들어, 도요타의 영국 공장으로 향하는 곳에서 독일의 서스펜션, 스페인 바퀴, 네덜란드 배기관 또는 헝가리 안전 벨트가 매일 통과합니다. ",1,"예를 들어, 도요타의 영국 공장을 대상으로 독일 정학, 스페인 바퀴, 네덜란드 배기 파이프 또는 헝가리 안전 벨트를 매일 통과합니다.",2
57,Muchos de esos camiones transportan entre 8.000 y 10.000 paquetes de objetos vendidos por comercio electrónico de entrega rápida. ,El País,,이 중 대부분의 트럭들은 전자 상거래에서 익스프레스 배송으로 거래된 8천-1만 개의 물품 상자를 운반한다. ,1,"이 트럭의 대부분은 빠른 배송 전자 상거래로 판매되는 8,000 ~ 10,000 개의 패키지를 운송합니다. ",1,"이 트럭 중 많은 수가 전자 패스트 배달 상거래로 판매되는 8,000 ~ 10,000 개의 품목을 운반합니다.",2
58,"Si el 29 de marzo no hay acuerdo, ¿cuál será el coste y el tiempo perdido en revisiones aduaneras y trámites burocráticos?",El País,,만약 3월 29일에 비준을 받지 못한다면 세관 검사와 관료 절차를 밟는 데 허비될 비용과 시간을 어떻게 할 것인가?,1,3 월 29 일 합의가 없으면 세관 검토 및 관료 절차에서 손실되는 비용과 시간은 어떻게됩니까?,2,"3월 29일에 합의가 없다면, 세관 검토와 관료적 절차에서 비용과 시간은 어떻게 될까?",2
59,"Ante la incapacidad de Londres de gestionar este proceso, el intento de organizar otro referéndum es solo la vía de eludir la elección entre lo malo y lo peor. ",El País,,영국 정부는 이 절차를 통과시지도 못하는 무능함을 보이는 상황에서 제 2 국민투표를 위한 움직임은 나쁜 선택과 최악의 선택 사이에서 선택을 회피하는 수단에 지나지 않는다. ,2,런던이이 과정을 관리 할 능력이 없다는 점을 감안할 때 다른 국민 투표를 조직하려는 시도는 악과 최악의 선택을 피하는 유일한 방법 일뿐입니다. ,3,"이 과정을 관리할 수없는 런던의 무능력에 직면하여, 또 다른 국민 투표를 조직하려는 시도는 나쁜 것과 최악의 것 사이의 선택을 피하는 길일뿐입니다.",1
60,O de ganar tiempo prórroga tras prórroga. ,El País,,혹은 연장의 연장을 거듭하며 시간을 벌기 위해서이거나. ,1,또는 연장 후 시간 연장을이기는 것. ,3,또는 연장 후 연장 시간을 벌 수 있습니다.,2
61,"Es decir, de evitar peores noticias cuando ya se ha cumplido ese teorema adjudicado al poeta estadounidense Allen Ginsberg: ",El País,,"즉, 미국 시인 앨런 긴스버그 이론이 이미 확실해진 상황에서 더 나쁜 소식은 피하는 것 말이다.  ",1,"즉, 미국 시인 앨런 긴스 버그 (Allen Ginsberg)에게 주어진 정리가 이미 성취되었을 때 더 나쁜 소식을 피하기 위해서입니다. ",3,"즉, 미국 시인 알렌 긴스 버그에게 주어진 정리가 이미 성취되었을 때 더 나쁜 소식을 피하는 것 :",2
62,“No puedes ganar. ,El País,,“당신은 이기지 못한다. ,2,"""당신은 이길 수 없습니다. ",1,“이길 수는 없어.,3
63,No puedes empatar. ,El País,,당신은 비기지 못한다. ,1,당신은 묶을 수 없습니다. ,2,묶을 수 없어,2
64,Y tampoco puedes abandonar el juego”. ,El País,,그리고 당신은 게임을 포기하지도 못한다.” ,1,"그리고 게임을 떠날 수도 없다. "" ",2,"그리고 당신은 게임을 포기할 수 없습니다. """,2
65,"O sea, juegas al Brexit.",El País,,그러니까 브렉시트라는 게임에서.,1,"즉, Brexit을 연기합니다.",2,"그러니까, 브렉시트 게임을 하는 거군요",2
66,[HEADLINE] Florida ordena un recuento en las elecciones a gobernador y senador,El País,,플로리다 주지사 및 상원의원 선거 재검표 명령,1,플로리다 주 주지사 선거에 대한 재검 표 명령,3,플로리다는 주지사와 상원 의원 선거에서 재검 표를 명령합니다.,2
67,"[SUB-HEADLINE] Una diferencia de menos del 0,5% de los votos vuelve a convertir al Estado en el epicentro de una polémica disputa legal tras unas elecciones",El País,,선거 후 0.5% 미만의 득표차로 플로리다 주가 법적 분쟁의 중심에 서다.,1,득표율의 0.5 %에도 미치지 못하는 점이 다시 선거 이후 논쟁의 여지가있는 법적 분쟁의 진원지가된다.,2,투표의 0.5 % 미만 차이는 선거 이후 논란이 되고 있는 법적 분쟁의 진원지로 국가를 다시 전환시킨다.,2
68,"Dieciocho años después, Florida vuelve a ser el epicentro de una polémica y reñida disputa de votos. ",El País,,18년 만에 플로리다가 다시 격렬한 투표 분쟁의 진원지가 되었다. ,1,"18 년 후, 플로리다는 다시 논쟁의 여지가 많은 분쟁 투표 대회의 진원지가되었습니다. ",3,"18년 후, 플로리다는 다시 논쟁적이고 치열한 투표 분쟁의 진원지가 되었습니다.",2
69,"Las elecciones del pasado martes a senador y gobernador tendrán que pasar por un recuento automático de los votos debido a la estrecha diferencia de votos entre los candidatos demócratas y republicanos, según decidió la autoridad electoral del Estado este sábado. ",El País,,지난 화요일에 실시된 상원의원 및 주지사 선거에서 민주당과 공화당 후보 간의 미미한 득표차로 전자 재검표를 거치게 될 것이라고 이번 주 토요일 선거관리위원회는 밝혔다. ,1,지난 토요일 상원 의원과 총재 선거는 이번 주 토요일의 선거 결정 권한에 따라 민주당과 공화당 후보들의 투표 차이가 좁아서 자동 투표기를 거쳐야한다. ,3,지난 화요일 상원의원과 주지사 선거는 민주당과 공화당 후보들 사이의 득표 차이로 인해 자동 투표 수를 거쳐야 할 것이라고 주 선거 관리 당국은 이번 토요일 결정했다.,2
70,"Los candidatos republicanos van en cabeza en el recuento, pero la diferencia es de menos del 0,5% de los votos. ",El País,,공화당 후보들이 재검표에서 우위에 있으나 득표차는 불과 0.5%이다. ,1,"공화당 후보들은 그 수위에서 앞서 있지만, 그 차이는 득표 수의 0.5 % 미만이다. ",2,"공화당 후보들은 집계에서 선두를 달리고 있지만, 그 차이는 0.5 % 미만이다.",1
71,"A diferencia de las presidenciales de 2000 que se decidieron judicialmente tras una situación similar en Florida, esta vez no hay problemas con el diseño de las papeletas. ",El País,,과거 플로리다에서 이와 비슷한 상황으로 법정에서 승자가 결정된 2000년 대선과는 달리 이번 선거에서는 투표용지 디자인의 문제는 없다. ,1,플로리다에서 유사한 사태가 발생하여 사 법적으로 결정된 2000 년 대선 때와는 달리 이번에는 투표 용지 설계에 문제가 없다. ,2,플로리다에서 비슷한 상황에 따라 사법 심사를 거친 2000년 대통령들과 달리 이번에는 투표 용지 설계에 문제가 없습니다.,2
72,Pero sí se han repetido las protestas ante las oficinas electorales y el desembarco de abogados en medio de muchos nervios.,El País,,그러나 선관위 사무실 앞에서는 시위가 계속 되었고 긴장이 감도는 상황에서 변호인단이 도착했다.,1,그러나 선거 사무실 앞에서 여러 차례의 항의와 많은 신경들 가운데에서 변호사들의 상륙이 반복되어왔다.,2,그러나 선거 관리국과 변호사 착륙에 대한 항의는 많은 긴장 속에서 반복되었다.,2
73,"La noche del martes, los candidatos republicanos a senador por Florida, Rick Scott, y a gobernador, Ron DeSantis, clamaron victoria aunque oficialmente no se les había proclamado ganador porque quedaban por contar dos condados, de mayoría demócrata. ",El País,,화요일 저녁 플로리다 주 상원에 출마한 릭 스콧 공화당 후보와 주지사에 출마한 론 드샌티스 공화당 후보는 승리를 선언했지만 민주당이 우세한 두 카운티의 표가 아직 반영되지 않았기 때문에 공식적인 승자는 발표되지 않았다. ,1,플로리다 주 상원의 원인 릭 스콧 (Rick Scott) 상원 의원과 론 데 산티 (Ron DeSantis) 주지사는 화요일 밤에 민주당 다수당을 두 군데 보유하고 있기 때문에 공식 승리자가 아니었지만 승리했다고 주장했다.,2,"화요일 밤, 플로리다 주 상원 의원 릭 스콧과 론 데 산티스 주지사의 공화당 후보들은 민주당 다수당 2 개 카운티가 남아 있기 때문에 공식적으로 승자로 선언되지는 않았지만 승리를 주장했다.",2
74,Uno de esos distritos examinó este viernes si algunas papeletas que se habían considerado defectuosas en realidad eran correctas. ,El País,,이 두 자치주 중 한 주는 이번 주 금요일 무효표로 간주되었던 투표용지에 착오가 없었는지 검사했다. ,1,결함이 있다고 여겨지는 투표 용지가 실제로 맞으면 이번 금요일에 해당 지구 중 한 곳을 조사했습니다. ,3,그 지역 중 한 곳은 금요일에 결함이 있는 것으로 간주되는 투표 용지가 실제로 올바른지 여부를 조사했습니다.,2
75,"Desde el martes, se ha ido achicando la diferencia de votos de los republicanos con sus rivales, el actual senador, el demócrata Bill Nelson, y el candidato a gobernador, Andrew Gillum. ",El País,,화요일부터 공화당 후보들과 경쟁자인 현역 상원의원인 빌 넬슨 민주당 후보와 앤드루 길럼 주지사 후보 간의 득표율 격차가 좁혀지고 있다. ,2,"화요일 이후, 라이벌, 현재의 상원의 원인 민주당 원 빌 Nelson 및 주지사, Andrew Gillum 후보자와 가진 공화당 원의 투표 다름은 줄어들고있다.",2,화요일부터 공화당의 투표 차이는 라이벌인 현직 상원 의원인 빌 넬슨과 앤드류 길룸 주지사 후보와 좁혀졌다.,1
76,"El viernes, la ventaja de Scott era de solo el 0,18% de votos y la de DeSantis, del 0,44%.",El País,,"금요일 스콧 후보는 0.18%, 드샌티스 후보는 0.44% 차로 앞섰다.",1,"금요일 Scott의 리드는 0.18 %, DeSantis는 0.44 %에 그쳤다.",2,금요일 Scott의 리드는 0.18 %의 지지율과 0.44 %의 DeSantis의 리드였습니다.,2
77,"Por ley, es obligatorio un recuento electrónico de papeletas si el sábado la diferencia de votos es de menos de 0,5 puntos. ",El País,, 토요일 득표차가 0.5% 포인트 미만일 경우 법적으로 전자 재검표를 의무화하고 있다. ,1,법으로 토요일 투표의 차이가 0.5 점 미만인 경우 전자 투표 수는 필수입니다. ,2,법에 따라 토요일 투표 차이가 0.5 포인트 미만인 경우 전자 투표 수는 의무적입니다.,2
78,"Finalmente, el secretario del Estado (autoridad electoral) de Florida hizo oficial a mediodía del sábado que la diferencia de votos obliga a un recuento automático. ",El País,,결국 플로리다 주 국무장관(선관위)은 토요일 정오에 득표차에 따라 전자 재검표를 실시한다고 공식 발표했다. ,1,"마지막으로, 플로리다 주 (장관) 선거 당국은 토요일에 정오에 투표 결과의 차이가 자동 재계 표를 요구했다고 공식 발표했다. ",2,"마지막으로, 플로리다 주 국무 장관 (선거 당국)은 토요일 정오에 투표 차이로 인해 자동 재검 표가 필요하다고 공식 발표했다.",1
79,Los resultados deben estar listos el próximo jueves por la tarde. ,El País,,결과는 다음 주 목요일 오후까지 결정되어야 한다. ,1,결과는 목요일 오후에 준비해야합니다. ,2,다음 주 목요일 오후에 결과가 준비되어야 한다.,2
80,"Si después de ese recuento la diferencia sigue siendo de menos de 0,25 puntos, se hará otro recuento a mano.",El País,,이번 재검표 후에도 격차가 0.25% 포인트 미만일 경우 수작업 재검표를 실시해야 한다.,1,이 카운트 후에 차이가 여전히 0.25 포인트보다 작 으면 다른 핸드 카운트가 만들어집니다.,3,"그 계산 후에도 그 차이가 0.25 포인트 미만인 경우, 또 다른 수표가 작성됩니다.",2
81,"Paralelamente, la elección ha sido judicializada a través de demandas de los dos aspirantes a senador. ",El País,,이 결정은 두 상원의원 후보의 동일한 요구로 법적 효력이 생겼다. ,2,"병행하여, 선거는 두 명의 야심 찬 상원 의원의 요구를 통해 사법 화되었습니다. ",3,"동시에, 선거는 두 명의 후보 상원 의원의 요구를 통해 사법화되었습니다.",1
82,"Scott, que es el actual gobernador de Florida, y el presidente estadounidense, Donald Trump, han acusado sin pruebas a dos condados, de mayoría demócrata, de cometer fraude. ",El País,,스콧 현 플로리다 주지사와 도널드 트럼프 미 대통령은 민주당이 우세한 두 카운티에서 선거 부정 행위가 있었다며 비난했지만 증거는 제시하지 않았다. ,1,"현재 플로리다 주지사 인 스콧 (Scott)과 도널드 트럼프 (Donald Trump) 미국 대통령은 사기를 저지른 두 군, 대부분 민주당인데도 불구하고 기소했다. ",2,현재 플로리다 주지사인 스콧과 도널드 트럼프 미국 대통령은 민주당 대다수인 두 카운티가 사기를 저질렀다고 증거없이 비난했다.,1
83,"“Es una desgracia”, dijo Trump, quien en las presidenciales de 2016 atribuyó a irregularidades falsas su derrota, en el número total de votos, frente a la demócrata Hillary Clinton.",El País,,2016년 대선에서 힐러리 클린턴 민주당 후보에게 총 득표수에서 밀린 원인을 부정 행위로 돌린 바 있는 트럼프 대통령은 “안타까운 일이다”라고 말했다.,1,"""그것은 불명예 스럽다.” 2016 년 대통령 선거에서 민주당 힐러리 클린턴에 반대하여 총 투표 수에서 거짓 부정에 대한 자신의 패배를 돌린 트럼프는 말했다.",2,트럼프는 2016년 대통령 선거에서 민주당 힐러리 클린턴에 대한 투표 수에서 그의 패배를 거짓 부정 행위로 돌렸다고 말했다.,3
84,Scott logró el viernes que un juez obligara a la autoridad electoral del condado de Broward a entregar toda la información sobre los votos emitidos. ,El País,,스콧이 원하던 대로 금요일 담당 판사는 개표된 모든 투표에 대한 정보를 제출할 것을 브로워드 카운티 선거 당국에 요구했다. ,1,Scott은 지난 금요일에 판사가 Broward 카운티의 선거 권한으로 투표 득표에 대한 모든 정보를 넘겨 줄 것을 요구하면서 성공했습니다. ,2,스콧은 금요일에 판사가 브로워드 카운티의 선거 당국에 투표에 관한 모든 정보를 제공하도록 강요했다.,2
85,"Nelson, su rival demócrata, le acusa de utilizar su potestad como gobernador para sugerir que puede pedir una investigación policial. ",El País,,경쟁자인 넬슨 민주당 후보는 스콧이 주지사의 권한을 이용해 경찰 조사를 요구할 수 있다고 위협했다며 비난했다. ,1,그의 민주당 경쟁자 인 넬슨 (Nelson)은 주지사로 그의 권력을 사용하여 그가 경찰 수사를 요청할 수 있다고 제안했다고 비난했다. ,2,그의 민주당 라이벌인 넬슨은 그가 경찰 조사를 요청할 수 있다고 제안하기 위해 주지사로서의 권한을 사용했다고 비난했다.,2
86,"Las autoridades han dicho no tener pruebas de fraude alguno, aunque ese condado ha estado envuelto en polémicas en el pasado. ",El País,,선관위는 부정의 증거가 전혀 없다고 밝혔지만 이 카운티는 옛날부터 계속 논란이 끊이지 않았다. ,1,당국은 과거에 논란에 휘말린 상태이지만 사기에 대한 증거가 없다고 말했습니다.,2,당국은 과거에이 카운티가 논쟁에 휘말리게되었지만 사기의 증거가 없다고 말했다.,2
87,"En unas elecciones de 2016, eliminó un archivo de papeletas físicas pero mantuvo uno digitalizado.",El País,,2016년 몇몇 선거에서 투표용지함이 제거되었지만 하나가 컴퓨터에 남아 있었다.,3, 2016 년 선거에서 그는 실제 투표 용지 파일을 삭제했지만 하나는 디지털화했습니다.,1,2016년 선거에서 그는 물리적 투표 용지 파일을 삭제했지만 디지털화된 파일을 유지했습니다.,2
88,Tanto Broward como Palm Beach fueron dos condados clave en la disputa tras las elecciones presidenciales de 2000 entre el republicano George W. Bush y el demócrata Al Gore. ,El País,,브로워드와 팜비치 카운티는 모두 2000년 조지 W 부시 공화당 후보와 앨 고어 민주당 후보 간의 대선 경쟁 이후 논란의 핵심이 되어 온 지역이다.  ,1,브로 워드와 팜 비치는 공화당 조지 부시 대통령과 민주당 앨 고어 대통령 간의 2000 년 대선 이후 분쟁의 핵심 카운티였다.,3,Broward와 Palm Beach는 공화당 조지 W. 부시와 민주당 앨 고어 사이의 2000년 대통령 선거 이후 분쟁의 핵심 카운티였습니다.,2
89,Florida acabó determinado quién se hacía con la presidencia. ,El País,,플로리다가 대통령 당선자를 결정하게 된 셈이었다. ,1,플로리다는 누가 대통령직을 맡았는지 결정했다. ,2,플로리다는 누가 대통령직을 맡았는지 결정하게 되었다.,2
90,Bush ganó oficialmente el Estado después de que el Tribunal Supremo paralizara un recuento de votos tras detectarse posibles irregularidades. ,El País,,대법원은 부정 행위가 발견되자 투표 재검표를 무효화하였고 부시 후보가 대선에서 공식적으로 승리했다. ,1,부시 대통령은 대법원이 부작용 가능성을 발견 한 후 득표 수를 마비시킨 이후 공식적으로 국가를 승리로 이끌었다. ,3,부시 대통령은 대법원이 가능한 부정 행위가 발견 된 후 투표 수를 줄인 후 공식적으로 주에서 승리했다.,2
91,"Entonces, ambos condados utilizaban papeletas en las que el votante hacía un agujero dentro de un círculo. ",El País,,당시 이 두 카운티에서는 유권자가 원 안에 구멍을 뚫게 하는 투표용지를 사용했다. ,1,그런 다음 두 카운티는 유권자가 원안에 구멍을 뚫은 투표 용지를 사용했습니다. ,2,그래서 두 카운티 모두 투표 용지를 사용하여 유권자가 원 안에 구멍을 냈습니다.,3
92,Esos formatos se cree que confundieron a muchos votantes y que podrían haberle costado la victoria a Gore.,El País,,이 방식이 많은 유권자들에게 혼란을 주어 앨 고어 후보의 승리를 어렵게 했을 것이라는 추측도 있다.,1,이 포맷은 많은 유권자를 혼란스럽게 만들었으며 Gore에게 승리를 요구할 수 있습니다.,3,이러한 형식은 많은 유권자를 혼란스럽게 만들었으며 Gore에게 승리를 가져다 줄 수 있다고 믿어집니다.,2
93,También se encaminan a recuentos las elecciones a senador por Arizona y a gobernador de Georgia. ,El País,,또한 애리조나 주 상원의원 선거 및 조지아 주지사 선거도 재검표에 들어간다. ,1,애리조나 상원 의원과 조지아 주지사 선거 역시 중요하게 고려된다. ,3,애리조나 주 상원 의원과 조지아 주지사 선거도 재검 표로 진행됩니다.,2
94,"Según los últimos datos, la demócrata Kyrsten Sinema mantiene una mínima ventaja frente a la republicana Martha McSally, que defiende el escaño conservador en Arizona. ",El País,,최근 정보에 따르면 키스텐 시네마 민주당 후보가 애리조나의 보수당 의석을 차지하고 있는 마사 맥샐리 공화당 후보를 상대로 최소한의 우위를 지키고 있다. ,1,최신 데이터에 따르면 민주당의 키스 텐 시네마 (Keithsten Sinema)는 아리조나의 보수당 자리를 지키고있는 공화당의 마사 맥 샐리 (Martha McSally)에 대해 최소한의 우위를 유지하고있다. ,2,최근 자료에 따르면 민주당의 키르 스텐 시네마는 애리조나에서 보수당을 지지하는 공화당의 마사 맥 샐리보다 최소한의 우위를 유지하고 있다.,2
95,Una victoria demócrata en Arizona sería especialmente significativa del calibre de la respuesta contra los republicanos. ,El País,,애리조나 주에서 민주당이 승리하면 공화당에게는 특히나 의미심장한 결과가 될 것이다. ,1,애리조나에서의 민주당 승리는 공화당에 대한 대응의 구상에서 특히 중요 할 것이다. ,2,애리조나에서의 민주당 승리는 공화당에 대한 반응의 구경에서 특히 중요할 것이다.,2
96,Ambas campañas llegaron este viernes a un acuerdo para esclarecer posibles irregularidades en el conteo de votos en zonas rurales.,El País,,금요일 양측은 일부 지방의 검표에서 제기된 부정 행위 의혹을 명확히하기 위한 합의에 도달했다.,1,두 캠페인은 이번 주 금요일 농촌 지역 투표 수의 불규칙성을 분명히하기 위해 합의했습니다.,3,두 캠페인은 이번 금요일 농촌 지역의 투표 수에 대한 가능한 부정 행위를 명확히하기로 합의했다.,2
97,"Mientras en Georgia, la demócrata Stacey Abrams ha prometido tomar acciones legales para garantizar que todos los votos se cuenten correctamente. ",El País,,한편 조지아에서는 스테이시 에이브럼스 민주당 후보가 법적 조치를 취해 모든 표를 올바로 세겠다고 선언했다. ,2,조지아 주에서 민주당의 스테이시 에이 브람스 (Stacey Abrams)는 모든 득표가 올바르게 집계 될 수 있도록 법적 조치를 취할 것을 약속했습니다. ,1,조지아에서 민주당 스테이시 에이브람스는 모든 투표가 올바르게 계산되도록 법적 조치를 취할 것을 약속했습니다.,2
98,"Esas elecciones fueron polémicas desde el primer momento porque el candidato republicano, Brian Kemp, como secretario de Estado de Georgia, es el responsable de gestionar comicios y los demócratas le acusaron de tomar medidas para restringir el voto de la población negra, que iba a ser clave para Abrams, que sería la primera gobernadora afroamericana de EE UU.",El País,,공화당 후보인 브라이언 켐프 조지아 주 국무장관이 선거 관리를 담당하고 있어 이번 선거는 시작부터 논란이 일었다. 민주당은 그가 미국의 첫 흑인 주지사를 노리고 있는 에이브럼스 후보에게 매우 중요한 흑인 표를 제한하기 위해 술수를 쓴다고 비난했다.,1,그 선거는 공화당 출신 후보 인 브라이언 켐프 (Brian Kemp)가 조지아 국무 장관으로 선거 운영에 책임이 있고 민주당이 흑인 인구의 투표를 제한하는 조치를 취했다고 비난했기 때문에 처음부터 논란이 많았다. 미국 최초의 아프리카 계 미국인 총재가 될 아브람에게 열쇠.,3,그 선거는 조지아 주 국무 장관인 브라이언 켐프 공화당 후보가 선거 관리 책임자이며 민주당이 미국 최초의 아프리카계 미국인 주지사가 될 아브람스의 열쇠가 될 흑인 인구의 투표를 제한하기 위한 조치를 취했다고 비난하면서 처음부터 논란의 여지가 있었다.,2
99,"[HEADLINE] Las elecciones legislativas, un referéndum sobre Trump",ABC,,트럼프 대통령에 대한 국민투표인 입법의회 선거,2,"입법 선거, 트럼프에 대한 국민 투표",1,"입법 선거, 트럼프 국민투표",3
100,[SUB-HEADLINE] Los estadounidenses eligen este martes a congresistas y autoridades estatales y locales. ,ABC,,미국 국민들은 이번 화요일 연방 및 지방의 여러 하원의원 및 지도자를 선출한다. ,2,미국인들은 화요일에 국회의원과 주 및 지방 당국을 선택합니다. ,3,미국인들은 이번 화요일에 주 및 지방 의회 의원과 당국을 선출한다.,1
101,[SUB-HEADLINE] Pero los comicios son ante todo un juicio al «trumpismo« que determinará el futuro del presidente,ABC,,"그러나 이번 선거가 무엇보다도 ""트럼프주의""에 대한 심판으로 트럼프의 미래를 좌우할 것이다.",1,"그러나 선거는 무엇보다도 대통령의 미래를 결정할 ""트럼프즘""에 대한 재판이다.",2,그러나 선거는 무엇보다도 대통령의 미래를 결정할 '트럼프주의'에 대한 판단이다.,1
102,"Si esta semana alguien hubiera salido de un coma, podría pensar que despierta en el otoño de 2020 y que Donald Trump se juega su reelección. ",ABC,,이번 주에 누군가 혼수상태에서 깨어났다면 지금이 2020년 가을이고 도널드 트럼프가 재선에 출마했다고 생각할 수 있다. ,3,이번 주 누군가가 혼수 상태에서 벗어났다면 2020 년 가을에 그가 깨어나고 도널드 트럼프 (Donald Trump)가 그의 재선을 노리고 있다고 생각할 것입니다. ,2,이번 주 누군가가 혼수 상태에서 벗어났다면 2020년 가을에 깨어나 도널드 트럼프가 재선에 출마했다고 생각할 수 있습니다.,1
